Actual,Predicted
90647.99999999999,90647.99999999999
95697.99999999999,95697.99999999999
100328.0,102871.73036848094
106475.0,108949.57898558045
112028.0,114446.61822132503
118226.0,119672.1230500966
124794.0,124812.96394929352
131422.99999999997,129981.39546983129
138536.0,135246.81059731633
144950.00000000003,140656.06482125603
150792.99999999997,146238.18238038904
158086.0,152014.2657708769
165385.99999999997,158000.2866639396
173491.0,164209.10697236194
181827.0,170652.0448516416
190609.0,177339.58447409517
198370.00000000003,184281.80507034098
207191.0,191488.67946294593
216824.00000000003,198970.21244642738
226713.0,206736.6430869705
236184.0,214798.4006730425
246622.0,223166.21860974032
257486.0,231851.11526648872
265928.0,240864.40227535443
276146.0,250217.79756950395
286605.0,259923.31769384557
297535.0,269993.38379830564
308992.99999999994,280440.742766239
320922.00000000006,291278.52436130785
332424.0,302520.23832779576
343091.0,314179.7581786687
354065.0,326271.34791658825
366946.0,338809.6592929265
380532.00000000006,351809.74939415127
395048.0,365287.0949896817
410450.99999999994,379257.42388848925
425282.0,393736.8958754145
440215.0,408742.1315493436
456183.0,424290.22885883704
473105.0,440398.73838539683
490401.0,457085.66960813064
508953.0,474369.2536070611
528859.0,492266.41784090357
548318.0,510797.3626631505
566840.0,529981.4839720256
585480.9999999999,549837.8260368959
604641.0000000001,570386.622529734
625544.0000000001,591648.0165800141
648315.0,613642.4353881034
673165.0,636390.6800144715
697413.0,659913.7549283667
719664.0000000001,684232.8903035776
742417.0000000001,709369.5161630599
767296.0,735345.2402979307
793802.0,762181.7675100343
820916.0,789900.7516734579
849522.0,818524.0423961272
878254.0,848073.5112281303
906752.0,878571.0341511471
936181.0,910038.727926978
968857.0,942498.6180557575
1003832.0,975971.1839861586
1039084.0000000001,1010477.3117888239
1077780.9999999998,1046038.2676118576
1118206.0,1082674.3686636554
1155338.0,1120405.5846547727
1193077.9999999998,1159251.303847088
1238798.0,1199230.212988077
1288107.9999999998,1240360.4710790485
1337024.0,1282659.339625825
1385635.0000000002,1326143.0623553153
1435616.0,1370827.5208855662
1480073.0,1416726.7122410801
1531669.0,1463853.8377031083
1581963.0,1512220.9369224464
1634746.0,1561838.6355454288
1695988.0,1612716.089645197
1750723.0,1664860.9645578845
1803695.0,1718279.0729546223
1855745.0,1772974.6555662674
1908254.0,1828950.047592292
1964536.0,1886205.0749027194
2027073.9999999998,1944740.717691622
2088610.9999999998,2004544.716581976
2153010.0,2065618.3403816274
2215074.0,2127951.46083655
2268675.0,2191533.6076852023
2329638.0,2256351.0398967904
2396637.0,2322387.2395118102
2461189.9999999995,2389623.400275969
2525921.9999999995,2458038.425109602
2589952.0,2527608.282690659
2647663.0,2598306.177690872
2702681.0,2670102.5289210114
2767253.0,2742964.7513843025
2836925.0,2816857.965692163
2905824.9999999995,2891744.3411112856
2975701.0,2967583.29617891
3044940.0,3044331.3580336804
3106348.0,3121942.824787175
3167322.9999999995,3200368.69602141
3224547.0,3279557.4171574484
3310234.0000000005,3359455.97873543
3387499.9999999995,3440008.3780408343
3463972.0,3521157.0485342694
3542732.9999999995,3602842.3744583116
3621245.0,3685003.600654241
3691166.0,3767575.358209278
3769523.0,3850495.3902220866
3853406.0,3933696.176701238
3936747.0,4017110.1500176834
4023179.0,4100669.8701465786
4113811.0,4184306.888120444
4204613.0,4267951.838711442
4280422.0,4351535.218508607
4370128.0,4434987.692813115
4465863.0,4518240.159193699
4562414.0,4601223.90288212
4659984.0,4683870.939221024
4754356.0,4766114.115907385
4846427.0,4847887.460724838
4930236.0,4929126.326421768
5020359.0,5009767.4931629505
