Actual,Predicted
90648,90648
95698,95698
100328,196150.2133
106475,196950.804
112028,197835.2662
118226,198832.339
124794,200054.3397
131423,201360.505
138536,202885.1466
144950,204601.5781
150793,206478.421
158086,208471.3935
165386,210480.2019
173491,212681.6799
181827,215337.7059
190609,218289.6278
198370,221667.0652
207191,225317.2314
216824,229215.1994
226713,233329.5909
236184,238131.6694
246622,243459.8504
257486,249181.2886
265928,255339.0928
276146,261979.8908
286605,268737.9914
297535,275400.7836
308993,283129.564
320922,291483.421
332424,300591.6808
343091,310369.0058
354065,320478.1508
366946,330543.8937
380532,340948.3482
395048,352551.3428
410451,365834.8449
425282,380347.6791
440215,395956.5602
456183,412247.1165
473105,428832.2492
490401,446376.4779
508953,465246.2269
528859,485346.7743
548318,506690.1435
566840,529425.0158
585481,552755.0526
604641,575587.4328
625544,598077.8756
648315,621222.2809
673165,645726.8107
697413,672358.3314
719664,700658.4828
742417,729365.6744
767296,756830.3374
793802,783507.8994
820916,811354.9691
849522,840876.5346
878254,871509.8362
906752,902711.7626
936181,934398.4423
968857,965861.3671
1003832,997694.2353
1039084,1031165.822
1077781,1066835.807
1118206,1103927.208
1155338,1142126.826
1193078,1181814.428
1238798,1220999.095
1288108,1259378.332
1337024,1300830.9
1385635,1347303.656
1435616,1395326.127
1480073,1443202.263
1531669,1490789.321
1581963,1538495.294
1634746,1585704.637
1695988,1637115.03
1750723,1690144.419
1803695,1746984.019
1855745,1806583.898
1908254,1861898.343
1964536,1915787.707
2027074,1969280.332
2088611,2024150.31
2153010,2081793.36
2215074,2141100.422
2268675,2198316.124
2329638,2253200.582
2396637,2302669.761
2461190,2347962.966
2525922,2395330.374
2589952,2441811.854
2647663,2484326.671
2702681,2523751.882
2767253,2559179.491
2836925,2590145.639
2905825,2619954.303
2975701,2651397.433
3044940,2682016.365
3106348,2710384.112
3167323,2736848.623
3224547,2760632.328
3310234,2781114.549
3387500,2800342.364
3463972,2819833.964
3542733,2842943.765
3621245,2862933.901
3691166,2881675.79
3769523,2899603.599
3853406,2916089.317
3936747,2930817.695
4023179,2946235.813
4113811,2961604.077
4204613,2976239.639
4280422,2990686.49
4370128,3004930.848
4465863,3018206.579
4562414,3029557.079
4659984,3042183.98
4754356,3055002.963
4846427,3067445.698
4930236,3079506.027
5020359,3090806.38
