Actual,Predicted
100328.00000000006,196150.2132511137
106475.00000000007,196950.8040422199
112028.00000000001,197835.26624953726
118225.99999999993,198832.33902966956
124793.99999999993,200054.3396987317
131423.0,201360.505040705
138536.0000000001,202885.1466242073
144950.0,204601.57808953503
150792.99999999997,206478.42096978406
158086.0,208471.3935032485
165385.99999999994,210480.20189851502
173490.99999999997,212681.67994570712
181827.00000000012,215337.70587795952
190609.00000000003,218289.6278205512
198370.00000000012,221667.06523489932
207191.0000000001,225317.23138028363
216824.0000000001,229215.19943720082
226712.99999999994,233329.59093874673
236183.99999999985,238131.66940188388
246621.99999999994,243459.85038489083
257485.99999999997,249181.28860264996
265928.00000000006,255339.092790067
276146.0,261979.8907624481
286605.0,268737.99141484476
297535.00000000006,275400.7836397288
308992.9999999999,283129.56396925426
320922.00000000006,291483.42095491267
332423.9999999999,300591.6808014212
343090.99999999994,310369.00580906845
354065.0,320478.15077280975
366945.99999999994,330543.8937449453
380532.0000000001,340948.3482056258
395048.0,352551.3427993653
410451.00000000006,365834.84491267777
425282.0,380347.67911255336
440215.00000000006,395956.5602288244
456182.99999999994,412247.11654433585
473105.0000000001,428832.2492150364
490400.99999999994,446376.4779232142
508953.0000000002,465246.2269155679
528859.0000000001,485346.77427798486
548318.0,506690.14353516675
566840.0000000001,529425.0158340333
585481.0,552755.0526056287
604641.0,575587.4327572582
625543.9999999998,598077.8755966423
648315.0,621222.2808771131
673165.0,645726.8107323644
697412.9999999999,672358.331432998
719664.0000000001,700658.4827568529
742416.9999999998,729365.6743803618
767296.0,756830.3373658059
793801.9999999999,783507.8993683455
820915.9999999998,811354.9690906403
849522.0,840876.5345701573
878254.0000000001,871509.8361995218
906752.0000000002,902711.7625702617
936181.0000000001,934398.442266166
968856.9999999998,965861.3670999405
1003832.0,997694.2352608142
1039084.0,1031165.8218615053
1077781.0,1066835.807314038
1118206.0,1103927.2079916594
1155338.0,1142126.8257387278
1193078.0,1181814.4279817936
1238798.0,1220999.0949842928
1288108.0,1259378.332460135
1337024.0,1300830.900152385
1385635.0,1347303.655978426
1435616.0,1395326.1268358228
1480073.0,1443202.2625999001
1531669.0,1490789.320571914
1581963.0,1538495.2941357938
1634746.0,1585704.6374781576
1695988.0,1637115.0296769289
1750722.9999999998,1690144.41880244
1803695.0,1746984.0189173815
1855745.0,1806583.8977214394
1908254.0,1861898.3430536536
1964536.0,1915787.7074520288
2027074.0,1969280.3321923388
2088611.0000000002,2024150.3103385565
2153010.0,2081793.3604974297
2215074.0,2141100.4224864985
2268675.0,2198316.12431924
2329638.0,2253200.582015022
2396637.0,2302669.761487886
2461190.0,2347962.9655521954
2525922.0,2395330.3742558802
2589952.0,2441811.8544687475
2647663.0,2484326.6712427135
2702681.0,2523751.8820534195
2767253.0,2559179.49084337
2836925.0,2590145.6388272787
2905825.0000000005,2619954.302616134
2975701.0,2651397.4326226558
3044939.9999999995,2682016.3646737183
3106348.0,2710384.1116669322
3167323.0,2736848.6226768936
3224547.0,2760632.3275634493
3310234.0,2781114.548520967
3387500.0,2800342.363944068
3463972.0,2819833.9637688543
3542733.0,2842943.7647587205
3621244.9999999995,2862933.900973573
3691166.0,2881675.7900447096
3769523.0,2899603.5985165383
3853406.0,2916089.3171659256
3936747.0,2930817.69504033
4023179.0,2946235.8126732255
4113811.0,2961604.0766671146
4204613.0,2976239.6387959565
4280422.0,2990686.4902383233
4370128.0,3004930.8479293133
4465863.0,3018206.5787400748
4562414.0,3029557.079315081
4659984.0,3042183.979677006
4754356.0,3055002.963177457
4846427.0,3067445.698331758
4930236.0,3079506.026749208
5020359.0,3090806.3804285075
