Actual,Predicted
10950201.0,10950201.0
10963394.0,10963394.0
10977386.999999998,10586330.681871762
10991651.000000002,10252041.568966532
11005849.999999998,9957314.319042265
11016433.999999998,9699200.37001942
11030176.0,9474995.964250105
11046914.000000002,9282219.24556143
11063491.0,9118592.134997984
11079979.0,8982028.054415667
11096731.0,8870617.564621985
11112241.0,8782601.408633076
11124527.0,8716359.262014303
11139516.0,8670417.731258105
11156923.0,8643420.676537193
11173761.0,8634123.258758547
11192045.0,8641383.030909993
11210799.000000002,8664151.287926
11229398.0,8701465.206092328
11244786.000000002,8752440.058314087
11262706.999999998,8816262.876527812
11285561.0,8892186.528897218
11308845.999999998,8979523.524153618
11333728.0,9077640.727814404
11359048.0,9185955.118790358
11385339.0,9303928.229058497
11409831.0,9431063.041091299
11438734.0,9566899.672911495
11474605.0,9711012.265093971
11514331.0,9863005.381635018
11555284.0,10022511.289654387
11599129.999999998,10189187.113546124
11646080.999999998,10362712.347903596
11686796.000000002,10542786.525883472
11734058.0,10729127.076312628
11787533.999999998,10921467.704733683
11846651.999999998,11119555.982325338
11908909.999999998,11323151.90731587
11971624.0,11532026.734311458
12039644.0,11745961.022206945
12095855.0,11964743.706298068
12149334.999999998,12188171.014873788
12221665.0,12416044.983400054
12303130.999999998,12648172.88337374
12392260.0,12884366.268046876
12485509.0,13124439.867872166
12589067.0,13368211.242363678
12686048.999999998,13615499.990561187
12801784.999999998,13866127.070431167
12928574.0,14119914.515778841
13060542.0,14376684.81628814
13205926.0,14636260.527567739
13358805.0,14898464.085619492
13527717.0,15163117.36663544
13689453.0,15430041.516864376
13873825.0,15699056.828164047
14074563.999999998,15969982.500084141
14291917.0,16242636.635486083
14526609.0,16516836.17444763
14788003.0,16792396.794207126
15061805.0,17069133.04328009
15320972.0,17346858.33763771
15616130.0,17625385.03127177
15930774.0,17904524.60145575
16263695.000000002,18184087.71744255
16610481.0,18463884.444853332
16960172.0,18743724.46770688
17313163.000000004,19023417.221920703
17636186.000000004,19302772.199401688
17997113.000000004,19581599.185897764
18376421.0,19859708.478542995
18762976.000000004,20136911.227596726
19164969.000000004,20413019.669588145
19557457.000000004,20687847.431895763
19925517.0,20961209.941327296
20282833.0,21232924.654439263
20664979.000000004,21502811.2287565
21077410.0,21770692.03908035
21491598.000000004,22036392.425978847
21892675.999999996,22299740.98425963
22296081.0,22560569.89144578
22662574.999999996,22818715.215253882
22992517.0,23074017.151844162
23340937.999999996,23326320.359107394
23703664.999999996,23575474.284809295
24046809.0,23821333.30609397
24372906.999999996,24063756.920267433
24684077.000000004,24302610.235486697
24965463.0,24537764.05843905
25228996.000000004,24769094.846816234
25496329.999999996,24996485.280992273
25772440.0,25219824.41028914
26031991.0,25439007.362125777
26289290.0,25653935.861532453
26530132.0,25864518.378993418
26752447.0,26070670.13196795
26948874.0,26272312.94911182
27157795.0,26469375.528623007
27369093.0,26661793.38764568
27555457.0,26849508.934231132
27729247.0,27032471.589297306
27894800.0,27210637.51055089
28047534.000000004,27383969.61768641
28175044.0,27552437.640364252
28307832.0,27716018.04046187
28441986.0,27874693.8145145
28574350.0,28028454.431255758
28694879.0,28177295.78229727
28809339.0,28321220.000735987
28909975.0,28460235.2913422
28996473.0,28594355.780448455
29089069.0,28723601.358941454
29182532.0,28847997.46078231
29274823.0,28967574.852922752
29359155.0,29082369.48133503
29439989.0,29192422.432060365
29510410.0,29297779.476791274
29570881.0,29398490.910491057
29633105.0,29494611.39923629
29700313.0,29586199.788657684
29762793.0,29673318.740472723
29823546.0,29756034.532768525
29881771.999999996,29834416.904713403
29935221.000000004,29908538.892954092
29977861.0,29978476.40775493
30028709.0,30044308.05345931
30082778.0,30106114.982018713
30134445.0,30163980.77252716
30183143.0,30217990.982717533
30233182.999999996,30268232.999835882
30279331.0,30314795.871794034
30316897.0,30357770.173781592
30362848.0,30397247.653074786
30411634.0,30433321.070120644
30458251.0,30466084.03979776
30502361.999999996,30495630.91991397
30545433.0,30522056.496540796
30585229.0,30545455.845120616
30619932.0,30565924.192219276
30663665.0,30583556.83200762
30709556.999999996,30598448.856626432
30752950.000000004,30610695.04474683
30795716.000000004,30620389.71985014
30837222.0,30627626.702018034
30874375.999999996,30632499.033034604
30907282.0,30635098.975841027
30946147.0,30635517.864923365
30987880.0,30633846.03651876
31026829.0,30630172.693626713
31064908.0,30624585.818267968
