Actual,Predicted
10950201,10950201
10963394,10963394
10977387,11298646.11
10991651,11296926.77
11005850,11295261.91
11016434,11293658.11
11030176,11292217.75
11046914,11290958.18
11063491,11289889.58
11079979,11288729.39
11096731,11287615.29
11112241,11286701.75
11124527,11285990.54
11139516,11285478.1
11156923,11285170.39
11173761,11285062.63
11192045,11285109.32
11210799,11285366.75
11229398,11285885.18
11244786,11286686.78
11262707,11287729.04
11285561,11288985.61
11308846,11290552.29
11333728,11292709.85
11359048,11295585.78
11385339,11299071.15
11409831,11303273.11
11438734,11308096.47
11474605,11313680.12
11514331,11320401.22
11555284,11329328.36
11599130,11340877.01
11646081,11354880.14
11686796,11371438.94
11734058,11390459.99
11787534,11411869.68
11846652,11435565.64
11908910,11465181.69
11971624,11501209.33
12039644,11543467.77
12095855,11591753.47
12149335,11643934.02
12221665,11698545.7
12303131,11754001.49
12392260,11819482.95
12485509,11903802.27
12589067,12002477.34
12686049,12115832.63
12801785,12240564.74
12928574,12380160.26
13060542,12532393.38
13205926,12709336.58
13358805,12905082.32
13527717,13116402.07
13689453,13347394.81
13873825,13588939.44
14074564,13842803.19
14291917,14102130.26
14526609,14383167.55
14788003,14679174.8
15061805,14990686.01
15320972,15317304.27
15616130,15653384.87
15930774,15989127.24
16263695,16325737.65
16610481,16689066.62
16960172,17068368.9
17313163,17460375.83
17636186,17858656.66
17997113,18252039.3
18376421,18637218.27
18762976,19017425.42
19164969,19422196.27
19557457,19835272.25
19925517,20248252.9
20282833,20653477.83
20664979,21034248.91
21077410,21393327.13
21491598,21750588.14
21892676,22120741.78
22296081,22494434.06
22662575,22855665.05
22992517,23198204.84
23340938,23519335.53
23703665,23810267.53
24046809,24087521.92
24372907,24370834.1
24684077,24651030.28
24965463,24916746.19
25228996,25169745.48
25496330,25409346.88
25772440,25635568.34
26031991,25860501.5
26289290,26092002.5
26530132,26326062.15
26752447,26552739.79
26948874,26772070.14
27157795,26974425.03
27369093,27160403.72
27555457,27336430.38
27729247,27511284.86
27894800,27673128.19
28047534,27815099.77
28175044,27943366.94
28307832,28057605.24
28441986,28156952.6
28574350,28245166.77
28694879,28331595.16
28809339,28413249.88
28909975,28487710.56
28996473,28553211.77
29089069,28610616.78
29182532,28659851.35
29274823,28704714.54
29359155,28749465.18
29439989,28792018.16
29510410,28831207.9
29570881,28866082.53
29633105,28896984.49
29700313,28923387.56
29762793,28947422.35
29823546,28971549.34
29881772,28995250.68
29935221,29017030.94
29977861,29037379.81
30028709,29055763.3
30082778,29071916.8
30134445,29086825.7
30183143,29103029.49
30233183,29119007.59
30279331,29133930.85
30316897,29148030.37
30362848,29161379.77
30411634,29173270.85
30458251,29184464.5
30502362,29196831.51
30545433,29209060.83
30585229,29220462.81
30619932,29231097.91
30663665,29240983.5
30709557,29250038.75
30752950,29258985.05
30795716,29269010.72
30837222,29278886.73
30874376,29288161.09
30907282,29296987.65
30946147,29305106.61
30987880,29312388.65
31026829,29319480.31
31064908,29327241.27
