Actual,Predicted
34726049.0,34726049.0
34726049.0,34726049.0
34733194.0,34665060.283066384
34746838.0,34613500.46989257
34752164.0,34571575.39044875
34758480.99999999,34539481.30167554
34765975.99999999,34517405.07084711
34772626.0,34505520.82276053
34779815.0,34503989.257009104
34786802.0,34512956.02234337
34793333.00000001,34532550.44313091
34799690.99999999,34562884.085761115
34808886.0,34604049.47046713
34822040.0,34656118.604918726
34838803.99999999,34719142.56677755
34861579.0,34793150.18901921
34889132.0,34878147.36668869
34922881.99999999,34974117.135303
34960261.0,35081018.27787563
35018358.0,35198786.223264344
35109286.0,35327332.56730402
35226386.0,35466545.56287843
35368372.0,35616289.617664516
35528004.0,35776407.1436697
35707727.0,35946718.981106445
35875790.0,36127025.35208478
36070510.0,36317106.905393675
36317927.00000001,36516726.236096136
36582129.0,36725629.0702299
36850961.99999999,36943545.94828603
37122164.00000001,37170193.717406034
37380252.99999999,37405276.99456373
37618270.99999999,37648489.91235867
37901241.0,37899517.56963831
38218773.0,38158039.79002887
38566027.0,38423727.86245937
38903731.0,38696251.38729183
39237264.0,38975276.93822708
39543328.0,39260470.19311131
39799201.99999999,39551497.03260767
40085116.0,39848026.545919724
40371500.00000001,40149728.407120414
40622709.0,40456278.01085187
40858241.0,40767355.30269758
41092521.99999999,41082646.227518484
41302440.0,41401843.81240588
41469499.00000001,41724647.47896536
41630885.00000001,42050765.29416728
