Actual,Predicted
34726049,34726049
34726049,34726049
34733194,34788369.88
34746838,34790590.01
34752164,34793460.14
34758481,34797931.64
34765976,34802522.78
34772626,34805864.06
34779815,34809630.88
34786802,34813683.02
34793333,34817745.44
34799691,34821941.07
34808886,34826077.49
34822040,34830628.34
34838804,34836598.42
34861579,34845166.05
34889132,34857342.62
34922882,34874027.69
34960261,34896771.23
35018358,34926184.61
35109286,34967602.29
35226386,35033444.23
35368372,35143290.72
35528004,35311468.13
35707727,35535194.33
35875790,35800659.3
36070510,36072879.21
36317927,36337256.33
36582129,36597396.7
36850962,36869512.7
37122164,37150914.16
37380253,37428594.92
37618271,37699746.14
37901241,37959328.75
38218773,38208167.91
38566027,38458176.08
38903731,38729601.79
39237264,39004879.31
39543328,39268312.87
39799202,39503169.7
40085116,39708466.59
40371500,39880492.84
40622709,40027631.79
40858241,40171659.16
41092522,40299695.88
41302440,40406762.68
41469499,40501691.57
41630885,40586828.46
